PassengerId,Sex,Age,Title,Pclass,SibSp,Parch,FamSize,Fare,Embarked,Deck,Survived
78,male,33,Mr,3,0,0,0,8.05,S,Unknown,0
79,male,0,Master,2,0,2,2,29.0,S,Unknown,1
80,female,30,Miss,3,0,0,0,12.475,S,Unknown,1
81,male,22,Mr,3,0,0,0,9.0,S,Unknown,0
82,male,29,Mr,3,0,0,0,9.5,S,Unknown,1
83,female,28,Miss,3,0,0,0,7.7875,Q,Unknown,1
84,male,28,Mr,1,0,0,0,47.1,S,Unknown,0
85,female,17,Miss,2,0,0,0,10.5,S,Unknown,1
86,female,33,Mrs,3,3,0,3,15.85,S,Unknown,1
87,male,16,Mr,3,1,3,4,34.375,S,Unknown,0
88,male,33,Mr,3,0,0,0,8.05,S,Unknown,0
89,female,23,Miss,1,3,2,5,263.0,S,C,1
90,male,24,Mr,3,0,0,0,8.05,S,Unknown,0
91,male,29,Mr,3,0,0,0,8.05,S,Unknown,0
92,male,20,Mr,3,0,0,0,7.8542,S,Unknown,0
93,male,46,Mr,1,1,0,1,61.175,S,E,0
94,male,26,Mr,3,1,2,3,20.575,S,Unknown,0
95,male,59,Mr,3,0,0,0,7.25,S,Unknown,0
96,male,33,Mr,3,0,0,0,8.05,S,Unknown,0
97,male,71,Mr,1,0,0,0,34.6542,C,A,0
98,male,23,Mr,1,0,1,1,63.3583,C,D,1
99,female,34,Mrs,2,0,1,1,23.0,S,Unknown,1
100,male,34,Mr,2,1,0,1,26.0,S,Unknown,0
101,female,28,Miss,3,0,0,0,7.8958,S,Unknown,0
102,male,33,Mr,3,0,0,0,7.8958,S,Unknown,0
103,male,21,Mr,1,0,1,1,77.2875,S,D,0
104,male,33,Mr,3,0,0,0,8.6542,S,Unknown,0
105,male,37,Mr,3,2,0,2,7.925,S,Unknown,0
106,male,28,Mr,3,0,0,0,7.8958,S,Unknown,0
107,female,21,Miss,3,0,0,0,7.65,S,Unknown,1
108,male,33,Mr,3,0,0,0,7.775,S,Unknown,1
109,male,38,Mr,3,0,0,0,7.8958,S,Unknown,0
110,female,28,Miss,3,1,0,1,24.15,Q,Unknown,1
111,male,47,Mr,1,0,0,0,52.0,S,C,0
112,female,14,Miss,3,1,0,1,14.4542,C,Unknown,0
113,male,22,Mr,3,0,0,0,8.05,S,Unknown,0
114,female,20,Miss,3,1,0,1,9.825,S,Unknown,0
115,female,17,Miss,3,0,0,0,14.4583,C,Unknown,0
116,male,21,Mr,3,0,0,0,7.925,S,Unknown,0
117,male,70,Mr,3,0,0,0,7.75,Q,Unknown,0
118,male,29,Mr,2,1,0,1,21.0,S,Unknown,0
119,male,24,Mr,1,0,1,1,247.5208,C,B,0
120,female,2,Miss,3,4,2,6,31.275,S,Unknown,0
121,male,21,Mr,2,2,0,2,73.5,S,Unknown,0
122,male,33,Mr,3,0,0,0,8.05,S,Unknown,0
123,male,32,Mr,2,1,0,1,30.0708,C,Unknown,0
124,female,32,Miss,2,0,0,0,13.0,S,E,1
125,male,54,Mr,1,0,1,1,77.2875,S,D,0
126,male,12,Master,3,1,0,1,11.2417,C,Unknown,1
127,male,33,Mr,3,0,0,0,7.75,Q,Unknown,0
128,male,24,Mr,3,0,0,0,7.1417,S,Unknown,1
129,female,12,Miss,3,1,1,2,22.3583,C,F,1
130,male,45,Mr,3,0,0,0,6.975,S,Unknown,0
131,male,33,Mr,3,0,0,0,7.8958,C,Unknown,0
132,male,20,Mr,3,0,0,0,7.05,S,Unknown,0
133,female,47,Mrs,3,1,0,1,14.5,S,Unknown,0
134,female,29,Mrs,2,1,0,1,26.0,S,Unknown,1
135,male,25,Mr,2,0,0,0,13.0,S,Unknown,0
136,male,23,Mr,2,0,0,0,15.0458,C,Unknown,0
137,female,19,Miss,1,0,2,2,26.2833,S,D,1
138,male,37,Mr,1,1,0,1,53.1,S,C,0
139,male,16,Mr,3,0,0,0,9.2167,S,Unknown,0
140,male,24,Mr,1,0,0,0,79.2,C,B,0
141,female,36,Mrs,3,0,2,2,15.2458,C,Unknown,0
142,female,22,Miss,3,0,0,0,7.75,S,Unknown,1
143,female,24,Mrs,3,1,0,1,15.85,S,Unknown,1
144,male,19,Mr,3,0,0,0,6.75,Q,Unknown,0
145,male,18,Mr,2,0,0,0,11.5,S,Unknown,0
146,male,19,Mr,2,1,1,2,36.75,S,Unknown,0
147,male,27,Mr,3,0,0,0,7.7958,S,Unknown,1
148,female,9,Miss,3,2,2,4,34.375,S,Unknown,0
149,male,36,Mr,2,0,2,2,26.0,S,F,0
150,male,42,Mr,2,0,0,0,13.0,S,Unknown,0
151,male,51,Mr,2,0,0,0,12.525,S,Unknown,0
152,female,22,Mrs,1,1,0,1,66.6,S,C,1
153,male,55,Mr,3,0,0,0,8.05,S,Unknown,0
154,male,40,Mr,3,0,2,2,14.5,S,Unknown,0
155,male,33,Mr,3,0,0,0,7.3125,S,Unknown,0
156,male,51,Mr,1,0,1,1,61.3792,C,Unknown,0
157,female,16,Miss,3,0,0,0,7.7333,Q,Unknown,1
158,male,30,Mr,3,0,0,0,8.05,S,Unknown,0
159,male,33,Mr,3,0,0,0,8.6625,S,Unknown,0
160,male,5,Master,3,8,2,10,69.55,S,Unknown,0
161,male,44,Mr,3,0,1,1,16.1,S,Unknown,0
162,female,40,Mrs,2,0,0,0,15.75,S,Unknown,1
163,male,26,Mr,3,0,0,0,7.775,S,Unknown,0
164,male,17,Mr,3,0,0,0,8.6625,S,Unknown,0
165,male,1,Master,3,4,1,5,39.6875,S,Unknown,0
166,male,9,Master,3,0,2,2,20.525,S,Unknown,1
167,female,36,Mrs,1,0,1,1,55.0,S,E,1
168,female,45,Mrs,3,1,4,5,27.9,S,Unknown,0
169,male,33,Mr,1,0,0,0,25.925,S,Unknown,0
170,male,28,Mr,3,0,0,0,56.4958,S,Unknown,0
171,male,61,Mr,1,0,0,0,33.5,S,B,0
172,male,4,Master,3,4,1,5,29.125,Q,Unknown,0
173,female,1,Miss,3,1,1,2,11.1333,S,Unknown,1
174,male,21,Mr,3,0,0,0,7.925,S,Unknown,0
175,male,56,Mr,1,0,0,0,30.6958,C,A,0
176,male,18,Mr,3,1,1,2,7.8542,S,Unknown,0
177,male,5,Master,3,3,1,4,25.4667,S,Unknown,0
178,female,50,Miss,1,0,0,0,28.7125,C,C,0
179,male,30,Mr,2,0,0,0,13.0,S,Unknown,0
180,male,36,Mr,3,0,0,0,0.0,S,Unknown,0
181,female,12,Miss,3,8,2,10,69.55,S,Unknown,0
182,male,33,Mr,2,0,0,0,15.05,C,Unknown,0
183,male,9,Master,3,4,2,6,31.3875,S,Unknown,0
184,male,1,Master,2,2,1,3,39.0,S,F,1
185,female,4,Miss,3,0,2,2,22.025,S,Unknown,1
186,male,33,Mr,1,0,0,0,50.0,S,A,0
187,female,36,Mrs,3,1,0,1,15.5,Q,Unknown,1
188,male,45,Mr,1,0,0,0,26.55,S,Unknown,1
189,male,40,Mr,3,1,1,2,15.5,Q,Unknown,0
190,male,36,Mr,3,0,0,0,7.8958,S,Unknown,0
191,female,32,Mrs,2,0,0,0,13.0,S,Unknown,1
192,male,19,Mr,2,0,0,0,13.0,S,Unknown,0
193,female,19,Miss,3,1,0,1,7.8542,S,Unknown,1
194,male,3,Master,2,1,1,2,26.0,S,F,1
195,female,44,Mrs,1,0,0,0,27.7208,C,B,1
196,female,58,Miss,1,0,0,0,146.5208,C,B,1
197,male,33,Mr,3,0,0,0,7.75,Q,Unknown,0
198,male,42,Mr,3,0,1,1,8.4042,S,Unknown,0
199,female,28,Miss,3,0,0,0,7.75,Q,Unknown,1
200,female,24,Miss,2,0,0,0,13.0,S,Unknown,0
201,male,28,Mr,3,0,0,0,9.5,S,Unknown,0
202,male,33,Mr,3,8,2,10,69.55,S,Unknown,0
203,male,34,Mr,3,0,0,0,6.4958,S,Unknown,0
204,male,45,Mr,3,0,0,0,7.225,C,Unknown,0
205,male,18,Mr,3,0,0,0,8.05,S,Unknown,1
206,female,2,Miss,3,0,1,1,10.4625,S,G,0
207,male,32,Mr,3,1,0,1,15.85,S,Unknown,0
208,male,26,Mr,3,0,0,0,18.7875,C,Unknown,1
209,female,16,Miss,3,0,0,0,7.75,Q,Unknown,1
210,male,40,Mr,1,0,0,0,31.0,C,A,1
211,male,24,Mr,3,0,0,0,7.05,S,Unknown,0
212,female,35,Miss,2,0,0,0,21.0,S,Unknown,1
213,male,22,Mr,3,0,0,0,7.25,S,Unknown,0
214,male,30,Mr,2,0,0,0,13.0,S,Unknown,0
215,male,33,Mr,3,1,0,1,7.75,Q,Unknown,0
216,female,31,Miss,1,1,0,1,113.275,C,D,1
217,female,27,Miss,3,0,0,0,7.925,S,Unknown,1
218,male,42,Mr,2,1,0,1,27.0,S,Unknown,0
219,female,32,Miss,1,0,0,0,76.2917,C,D,1
220,male,30,Mr,2,0,0,0,10.5,S,Unknown,0
221,male,16,Mr,3,0,0,0,8.05,S,Unknown,1
222,male,27,Mr,2,0,0,0,13.0,S,Unknown,0
223,male,51,Mr,3,0,0,0,8.05,S,Unknown,0
224,male,33,Mr,3,0,0,0,7.8958,S,Unknown,0
225,male,38,Mr,1,1,0,1,90.0,S,C,1
226,male,22,Mr,3,0,0,0,9.35,S,Unknown,0
227,male,19,Mr,2,0,0,0,10.5,S,Unknown,1
228,male,20,Mr,3,0,0,0,7.25,S,Unknown,0
229,male,18,Mr,2,0,0,0,13.0,S,Unknown,0
230,female,12,Miss,3,3,1,4,25.4667,S,Unknown,0
231,female,35,Mrs,1,1,0,1,83.475,S,C,1
232,male,29,Mr,3,0,0,0,7.775,S,Unknown,0
233,male,59,Mr,2,0,0,0,13.5,S,Unknown,0
234,female,5,Miss,3,4,2,6,31.3875,S,Unknown,1
235,male,24,Mr,2,0,0,0,10.5,S,Unknown,0
236,female,28,Miss,3,0,0,0,7.55,S,Unknown,0
237,male,44,Mr,2,1,0,1,26.0,S,Unknown,0
238,female,8,Miss,2,0,2,2,26.25,S,Unknown,1
239,male,19,Mr,2,0,0,0,10.5,S,Unknown,0
240,male,33,Mr,2,0,0,0,12.275,S,Unknown,0
241,female,28,Miss,3,1,0,1,14.4542,C,Unknown,0
242,female,28,Miss,3,1,0,1,15.5,Q,Unknown,1
243,male,29,Mr,2,0,0,0,10.5,S,Unknown,0
244,male,22,Mr,3,0,0,0,7.125,S,Unknown,0
245,male,30,Mr,3,0,0,0,7.225,C,Unknown,0
246,male,44,Mrs,1,2,0,2,90.0,Q,C,0
247,female,25,Miss,3,0,0,0,7.775,S,Unknown,0
248,female,24,Mrs,2,0,2,2,14.5,S,Unknown,1
249,male,37,Mr,1,1,1,2,52.5542,S,D,1
250,male,54,Mr,2,1,0,1,26.0,S,Unknown,0
251,male,33,Mr,3,0,0,0,7.25,S,Unknown,0
252,female,29,Mrs,3,1,1,2,10.4625,S,G,0
253,male,62,Mr,1,0,0,0,26.55,S,C,0
254,male,30,Mr,3,1,0,1,16.1,S,Unknown,0
255,female,41,Mrs,3,0,2,2,20.2125,S,Unknown,0
256,female,29,Mrs,3,0,2,2,15.2458,C,Unknown,1
257,female,36,Mrs,1,0,0,0,79.2,C,Unknown,1
258,female,30,Miss,1,0,0,0,86.5,S,B,1
259,female,35,Miss,1,0,0,0,512.3292,C,Unknown,1
260,female,50,Mrs,2,0,1,1,26.0,S,Unknown,1
261,male,33,Mr,3,0,0,0,7.75,Q,Unknown,0
262,male,3,Master,3,4,2,6,31.3875,S,Unknown,1
263,male,52,Mr,1,1,1,2,79.65,S,E,0
264,male,40,Mr,1,0,0,0,0.0,S,B,0
265,female,28,Miss,3,0,0,0,7.75,Q,Unknown,0
266,male,36,Mr,2,0,0,0,10.5,S,Unknown,0
267,male,16,Mr,3,4,1,5,39.6875,S,Unknown,0
268,male,25,Mr,3,1,0,1,7.775,S,Unknown,1
269,female,58,Mrs,1,0,1,1,153.4625,S,C,1
270,female,35,Miss,1,0,0,0,135.6333,S,C,1
271,male,33,Mr,1,0,0,0,31.0,S,Unknown,0
272,male,25,Mr,3,0,0,0,0.0,S,Unknown,1
273,female,41,Mrs,2,0,1,1,19.5,S,Unknown,1
274,male,37,Mr,1,0,1,1,29.7,C,C,0
275,female,28,Miss,3,0,0,0,7.75,Q,Unknown,1
276,female,63,Miss,1,1,0,1,77.9583,S,D,1
277,female,45,Miss,3,0,0,0,7.75,S,Unknown,0
278,male,33,Mr,2,0,0,0,0.0,S,Unknown,0
279,male,7,Master,3,4,1,5,29.125,Q,Unknown,0
280,female,35,Mrs,3,1,1,2,20.25,S,Unknown,1
281,male,65,Mr,3,0,0,0,7.75,Q,Unknown,0
282,male,28,Mr,3,0,0,0,7.8542,S,Unknown,0
283,male,16,Mr,3,0,0,0,9.5,S,Unknown,0
284,male,19,Mr,3,0,0,0,8.05,S,Unknown,1
285,male,33,Mr,1,0,0,0,26.0,S,A,0
286,male,33,Mr,3,0,0,0,8.6625,C,Unknown,0
287,male,30,Mr,3,0,0,0,9.5,S,Unknown,1
288,male,22,Mr,3,0,0,0,7.8958,S,Unknown,0
289,male,42,Mr,2,0,0,0,13.0,S,Unknown,1
290,female,22,Miss,3,0,0,0,7.75,Q,Unknown,1
291,female,26,Miss,1,0,0,0,78.85,S,Unknown,1
292,female,19,Mrs,1,1,0,1,91.0792,C,B,1
293,male,36,Mr,2,0,0,0,12.875,C,D,0
294,female,24,Miss,3,0,0,0,8.85,S,Unknown,0
295,male,24,Mr,3,0,0,0,7.8958,S,Unknown,0
296,male,33,Mr,1,0,0,0,27.7208,C,Unknown,0
297,male,23,Mr,3,0,0,0,7.2292,C,Unknown,0
298,female,2,Miss,1,1,2,3,151.55,S,C,0
299,male,33,Mr,1,0,0,0,30.5,S,C,1
300,female,50,Mrs,1,0,1,1,247.5208,C,B,1
301,female,28,Miss,3,0,0,0,7.75,Q,Unknown,1
302,male,33,Mr,3,2,0,2,23.25,Q,Unknown,1
303,male,19,Mr,3,0,0,0,0.0,S,Unknown,0
304,female,28,Miss,2,0,0,0,12.35,Q,E,1
305,male,33,Mr,3,0,0,0,8.05,S,Unknown,0
306,male,0,Master,1,1,2,3,151.55,S,C,1
307,female,28,Miss,1,0,0,0,110.8833,C,Unknown,1
308,female,17,Mrs,1,1,0,1,108.9,C,C,1
309,male,30,Mr,2,1,0,1,24.0,C,Unknown,0
310,female,30,Miss,1,0,0,0,56.9292,C,E,1
311,female,24,Miss,1,0,0,0,83.1583,C,C,1
312,female,18,Miss,1,2,2,4,262.375,C,B,1
313,female,26,Mrs,2,1,1,2,26.0,S,Unknown,0
314,male,28,Mr,3,0,0,0,7.8958,S,Unknown,0
315,male,43,Mr,2,1,1,2,26.25,S,Unknown,0
316,female,26,Miss,3,0,0,0,7.8542,S,Unknown,1
317,female,24,Mrs,2,1,0,1,26.0,S,Unknown,1
318,male,54,Mrs,2,0,0,0,14.0,S,Unknown,0
319,female,31,Miss,1,0,2,2,164.8667,S,C,1
320,female,40,Mrs,1,1,1,2,134.5,C,E,1
321,male,22,Mr,3,0,0,0,7.25,S,Unknown,0
322,male,27,Mr,3,0,0,0,7.8958,S,Unknown,0
323,female,30,Miss,2,0,0,0,12.35,Q,Unknown,1
324,female,22,Mrs,2,1,1,2,29.0,S,Unknown,1
325,male,33,Mr,3,8,2,10,69.55,S,Unknown,0
326,female,36,Miss,1,0,0,0,135.6333,C,C,1
327,male,61,Mr,3,0,0,0,6.2375,S,Unknown,0
328,female,36,Mrs,2,0,0,0,13.0,S,D,1
329,female,31,Mrs,3,1,1,2,20.525,S,Unknown,1
330,female,16,Miss,1,0,1,1,57.9792,C,B,1
331,female,28,Miss,3,2,0,2,23.25,Q,Unknown,1
332,male,45,Mr,1,0,0,0,28.5,S,C,0
333,male,38,Mr,1,0,1,1,153.4625,S,C,0
334,male,16,Mr,3,2,0,2,18.0,S,Unknown,0
335,female,36,Mrs,1,1,0,1,133.65,S,Unknown,1
336,male,33,Mr,3,0,0,0,7.8958,S,Unknown,0
337,male,29,Mr,1,1,0,1,66.6,S,C,0
338,female,41,Miss,1,0,0,0,134.5,C,E,1
339,male,45,Mr,3,0,0,0,8.05,S,Unknown,1
340,male,45,Mr,1,0,0,0,35.5,S,T,0
341,male,2,Master,2,1,1,2,26.0,S,F,1
342,female,24,Miss,1,3,2,5,263.0,S,C,1
343,male,28,Mr,2,0,0,0,13.0,S,Unknown,0
344,male,25,Mr,2,0,0,0,13.0,S,Unknown,0
345,male,36,Mr,2,0,0,0,13.0,S,Unknown,0
346,female,24,Miss,2,0,0,0,13.0,S,F,1
347,female,40,Miss,2,0,0,0,13.0,S,Unknown,1
348,female,36,Mrs,3,1,0,1,16.1,S,Unknown,1
349,male,3,Master,3,1,1,2,15.9,S,Unknown,1
350,male,42,Mr,3,0,0,0,8.6625,S,Unknown,0
351,male,23,Mr,3,0,0,0,9.225,S,Unknown,0
352,male,33,Mr,1,0,0,0,35.0,S,C,0
353,male,15,Mr,3,1,1,2,7.2292,C,Unknown,0
354,male,25,Mr,3,1,0,1,17.8,S,Unknown,0
355,male,33,Mr,3,0,0,0,7.225,C,Unknown,0
356,male,28,Mr,3,0,0,0,9.5,S,Unknown,0
357,female,22,Miss,1,0,1,1,55.0,S,E,1
358,female,38,Miss,2,0,0,0,13.0,S,Unknown,0
359,female,28,Miss,3,0,0,0,7.8792,Q,Unknown,1
360,female,28,Miss,3,0,0,0,7.8792,Q,Unknown,1
361,male,40,Mr,3,1,4,5,27.9,S,Unknown,0
362,male,29,Mr,2,1,0,1,27.7208,C,Unknown,0
363,female,45,Mrs,3,0,1,1,14.4542,C,Unknown,0
364,male,35,Mr,3,0,0,0,7.05,S,Unknown,0
365,male,33,Mr,3,1,0,1,15.5,Q,Unknown,0
366,male,30,Mr,3,0,0,0,7.25,S,Unknown,0
367,female,60,Mrs,1,1,0,1,75.25,C,D,1
368,female,36,Mrs,3,0,0,0,7.2292,C,Unknown,1
369,female,28,Miss,3,0,0,0,7.75,Q,Unknown,1
370,female,24,Mrs,1,0,0,0,69.3,C,B,1
371,male,25,Mr,1,1,0,1,55.4417,C,E,1
372,male,18,Mr,3,1,0,1,6.4958,S,Unknown,0
373,male,19,Mr,3,0,0,0,8.05,S,Unknown,0
374,male,22,Mr,1,0,0,0,135.6333,C,Unknown,0
375,female,3,Miss,3,3,1,4,21.075,S,Unknown,0
376,female,36,Mrs,1,1,0,1,82.1708,C,Unknown,1
377,female,22,Miss,3,0,0,0,7.25,S,Unknown,1
378,male,27,Mr,1,0,2,2,211.5,C,C,0
379,male,20,Mr,3,0,0,0,4.0125,C,Unknown,0
380,male,19,Mr,3,0,0,0,7.775,S,Unknown,0
381,female,42,Miss,1,0,0,0,227.525,C,Unknown,1
382,female,1,Miss,3,0,2,2,15.7417,C,Unknown,1
383,male,32,Mr,3,0,0,0,7.925,S,Unknown,0
384,female,35,Mrs,1,1,0,1,52.0,S,Unknown,1
385,male,33,Mr,3,0,0,0,7.8958,S,Unknown,0
386,male,18,Mr,2,0,0,0,73.5,S,Unknown,0
387,male,1,Master,3,5,2,7,46.9,S,Unknown,0
388,female,36,Miss,2,0,0,0,13.0,S,Unknown,1
389,male,33,Mr,3,0,0,0,7.7292,Q,Unknown,0
390,female,17,Miss,2,0,0,0,12.0,C,Unknown,1
391,male,36,Mr,1,1,2,3,120.0,S,B,1
392,male,21,Mr,3,0,0,0,7.7958,S,Unknown,1
393,male,28,Mr,3,2,0,2,7.925,S,Unknown,0
394,female,23,Miss,1,1,0,1,113.275,C,D,1
395,female,24,Mrs,3,0,2,2,16.7,S,G,1
396,male,22,Mr,3,0,0,0,7.7958,S,Unknown,0
397,female,31,Miss,3,0,0,0,7.8542,S,Unknown,0
398,male,46,Mr,2,0,0,0,26.0,S,Unknown,0
399,male,23,Mrs,2,0,0,0,10.5,S,Unknown,0
400,female,28,Mrs,2,0,0,0,12.65,S,Unknown,1
401,male,39,Mr,3,0,0,0,7.925,S,Unknown,1
402,male,26,Mr,3,0,0,0,8.05,S,Unknown,0
403,female,21,Miss,3,1,0,1,9.825,S,Unknown,0
404,male,28,Mr,3,1,0,1,15.85,S,Unknown,0
405,female,20,Miss,3,0,0,0,8.6625,S,Unknown,0
406,male,34,Mr,2,1,0,1,21.0,S,Unknown,0
407,male,51,Mr,3,0,0,0,7.75,S,Unknown,0
408,male,3,Master,2,1,1,2,18.75,S,Unknown,1
409,male,21,Mr,3,0,0,0,7.775,S,Unknown,0
410,female,12,Miss,3,3,1,4,25.4667,S,Unknown,0
411,male,33,Mr,3,0,0,0,7.8958,S,Unknown,0
412,male,33,Mr,3,0,0,0,6.8583,Q,Unknown,0
413,female,33,Miss,1,1,0,1,90.0,Q,C,1
414,male,33,Mr,2,0,0,0,0.0,S,Unknown,0
415,male,44,Mr,3,0,0,0,7.925,S,Unknown,1
416,female,36,Mrs,3,0,0,0,8.05,S,Unknown,0
417,female,34,Mrs,2,1,1,2,32.5,S,Unknown,1
418,female,18,Miss,2,0,2,2,13.0,S,Unknown,1
419,male,30,Mr,2,0,0,0,13.0,S,Unknown,0
420,female,10,Miss,3,0,2,2,24.15,S,Unknown,0
421,male,33,Mr,3,0,0,0,7.8958,C,Unknown,0
422,male,21,Mr,3,0,0,0,7.7333,Q,Unknown,0
423,male,29,Mr,3,0,0,0,7.875,S,Unknown,0
424,female,28,Mrs,3,1,1,2,14.4,S,Unknown,0
425,male,18,Mr,3,1,1,2,20.2125,S,Unknown,0
426,male,33,Mr,3,0,0,0,7.25,S,Unknown,0
427,female,28,Mrs,2,1,0,1,26.0,S,Unknown,1
428,female,19,Miss,2,0,0,0,26.0,S,Unknown,1
429,male,33,Mr,3,0,0,0,7.75,Q,Unknown,0
430,male,32,Mr,3,0,0,0,8.05,S,E,1
431,male,28,Mr,1,0,0,0,26.55,S,C,1
432,female,36,Mrs,3,1,0,1,16.1,S,Unknown,1
433,female,42,Mrs,2,1,0,1,26.0,S,Unknown,1
434,male,17,Mr,3,0,0,0,7.125,S,Unknown,0
435,male,50,Mr,1,1,0,1,55.9,S,E,0
436,female,14,Miss,1,1,2,3,120.0,S,B,1
437,female,21,Miss,3,2,2,4,34.375,S,Unknown,0
438,female,24,Mrs,2,2,3,5,18.75,S,Unknown,1
439,male,64,Mr,1,1,4,5,263.0,S,C,0
440,male,31,Mr,2,0,0,0,10.5,S,Unknown,0
441,female,45,Mrs,2,1,1,2,26.25,S,Unknown,1
442,male,20,Mr,3,0,0,0,9.5,S,Unknown,0
443,male,25,Mr,3,1,0,1,7.775,S,Unknown,0
444,female,28,Miss,2,0,0,0,13.0,S,Unknown,1
445,male,33,Mr,3,0,0,0,8.1125,S,Unknown,1
446,male,4,Master,1,0,2,2,81.8583,S,A,1
447,female,13,Miss,2,0,1,1,19.5,S,Unknown,1
448,male,34,Mr,1,0,0,0,26.55,S,Unknown,1
449,female,5,Miss,3,2,1,3,19.2583,C,Unknown,1
450,male,52,Mr,1,0,0,0,30.5,S,C,1
